Language,language family,secondary family,Stress system type,Rightward primary stress,Consonant duration,Correlates for Primary/secondary different?,duration,pitch,intensity,Primary correlate,Vowel reduction,Length = contrastive,Length: affected by other qualities,Pitch = contrastive,final lapse,final lapse morpheme specific,source(s)
Waima,Austronesian,Malayo-Polynesian,0,1,,,1,1,1,,0,3,,0,,,"Kim & Kim (1998), Kim (2002)"
Wardaman,Australian,Gunwingguan,2,1,,0,0,1,1,,0,0,,0,,,Merlan (1994)
Wari',Chapacuran,,0,1,,,0,1,1,,0,0,,0,,,Everett & Kern (1997)
Warlpiri,Australian,Pama-Nyungan,1,0,,0,1,1,1,,0,2,,0,1,,Nash (1980)
Welsh,Indo-European,Celtic,0,1,2,,1,0,0,1,0,2,,0,,,Grzegorz & Williams (1999)
Wik-Mungkan,Australian,Pama-Nyungan,1,0,,1,1,1,1,,1,1,,0,1,1,Sayers (1976); Kilham (1986)
Witsuwit'en,Dené–Yeniseian,Athabaskan,1,0,,0,1,1,1,,0,1,,0,1,1,Hargus (2007)
Wyandot,Iroquoian,Northern,0,1,,,0,1,0,2,1,0,,0,,,Kopris (2001)
Yaruro,unclassified,,0,1,,1,1,1,0,,0,0,,0,,,"Obregón Muñoz (1981), Dixon & Aikhenvald (2006), Wetzels & Meira (2010), Mosonyi, Mosonyi, & García (2000)"
Yidin,Australian,Pama-Nyungan,1,1,,0,0,0,1,3,1,1,,0,0,,Dixon (p.c.; 1977)
Yimas,Ramu-Lower Sepik (Papua new Guinea),,1,0,,0,1,1,0,,0,0,,0,1,,Foley (1991)
Yuchi/Euchee,Isolate4,,2,1,,0,0,0,1,3,0,1,,0,,,Linn (2001)
Yupik (Siberian),Eskimo–Aleut,Eskimo,1,0,,0,1,0,0,1,0,1,,0,1,,"Krauss (1975), Jacobson (1976)"
